"ID","Game","Power","P1_Expectation","P2_Expectation"
"w4bjdm196","costly_help_2",79,77,81
"w4bjdm196","costly_punish_1",82,79,87
"w4bjdm196","free_help_2",80,95,97
"w4bjdm196","near_dictator_1",77,84,86
"w4bjdm196","safe_shot_1",67,72,72
"w4bjdm196","safe_shot_2",76,73,75
"w4bjdm196","strategic_dummy_1",75,72,70
"w4bjdm196","trust_game_2",85,72,75
"y5kvme9pj","common_interest_1",76,75,0
"y5kvme9pj","common_interest_2",80,69,0
"y5kvme9pj","costly_help_2",78,27,5
"y5kvme9pj","costly_punish_1",77,66,9
"y5kvme9pj","free_help_2",75,73,73
"y5kvme9pj","near_dictator_1",25,76,24
"y5kvme9pj","safe_shot_1",100,88,0
"y5kvme9pj","safe_shot_2",25,75,8
"y5kvme9pj","strategic_dummy_1",72,74,25
"y5kvme9pj","trust_game_2",77,74,95
"ywfo7v54n","common_interest_1",75,76,7
"ywfo7v54n","common_interest_2",24,100,3
"ywfo7v54n","costly_help_2",74,73,75
"ywfo7v54n","costly_punish_1",39,66,26
"ywfo7v54n","free_help_2",12,97,25
"ywfo7v54n","near_dictator_1",76,25,6
"ywfo7v54n","safe_shot_1",77,96,28
"ywfo7v54n","safe_shot_2",91,93,13
"ywfo7v54n","strategic_dummy_1",78,77,50
"ywfo7v54n","trust_game_2",76,24,95
"yzort533v","common_interest_1",50,76,24
"yzort533v","common_interest_2",0,100,2
"yzort533v","costly_help_2",74,78,74
"yzort533v","costly_punish_1",73,76,26
"yzort533v","free_help_2",50,24,22
"yzort533v","near_dictator_1",1,3,27
"yzort533v","safe_shot_1",72,100,22
"yzort533v","safe_shot_2",24,74,24
"yzort533v","strategic_dummy_1",77,77,50
"yzort533v","trust_game_2",22,81,77
"z1zvx8kmj","common_interest_1",50,50,0
"z1zvx8kmj","common_interest_2",29,100,0
"z1zvx8kmj","costly_help_2",14,51,100
"z1zvx8kmj","costly_punish_1",54,65,0
"z1zvx8kmj","free_help_2",0,100,0
"z1zvx8kmj","near_dictator_1",8,0,0
"z1zvx8kmj","safe_shot_1",61,100,0
"z1zvx8kmj","safe_shot_2",51,100,0
"z1zvx8kmj","strategic_dummy_1",71,100,50
"z1zvx8kmj","trust_game_2",24,75,100
